,Bandit,Reward,Algorithm
141,3,4.4242204640797285,Epsilon Greedy
142,3,3.5738862316063216,Epsilon Greedy
143,3,4.154597366997547,Epsilon Greedy
144,3,3.651526385119699,Epsilon Greedy
145,3,4.401167806197788,Epsilon Greedy
146,3,2.8391577405544943,Epsilon Greedy
147,3,4.567432224162788,Epsilon Greedy
148,3,4.087833419697258,Epsilon Greedy
149,3,4.1575972483895764,Epsilon Greedy
150,3,4.112401160839322,Epsilon Greedy
151,3,4.128854981929295,Epsilon Greedy
152,3,3.367270760354529,Epsilon Greedy
153,3,3.9727969425823733,Epsilon Greedy
154,3,5.841520635983533,Epsilon Greedy
155,3,3.9783313314964164,Epsilon Greedy
156,3,4.146537227727412,Epsilon Greedy
157,3,1.6586998216722133,Epsilon Greedy
158,3,5.243351807552829,Epsilon Greedy
159,3,1.9094298129636922,Epsilon Greedy
160,3,3.781596698753809,Epsilon Greedy
161,3,4.707198867111946,Epsilon Greedy
162,3,6.214525481431276,Epsilon Greedy
163,3,4.87910380835017,Epsilon Greedy
164,3,4.895465320651985,Epsilon Greedy
165,3,3.961423419796631,Epsilon Greedy
166,3,3.9790499748658337,Epsilon Greedy
167,3,2.8698934154369136,Epsilon Greedy
168,3,4.983359823215547,Epsilon Greedy
169,3,1.7821236655469916,Epsilon Greedy
170,3,3.41175494665277,Epsilon Greedy
171,3,3.873742629685867,Epsilon Greedy
172,3,5.11077777418862,Epsilon Greedy
173,3,2.571634697483251,Epsilon Greedy
174,3,5.305459697821651,Epsilon Greedy
175,3,2.425109787298564,Epsilon Greedy
176,3,5.046416206077614,Epsilon Greedy
177,3,3.6833629748067542,Epsilon Greedy
178,3,5.998410982882217,Epsilon Greedy
179,3,4.261809375268677,Epsilon Greedy
180,3,4.572314659424024,Epsilon Greedy
181,3,5.663890958896079,Epsilon Greedy
182,3,3.9220746011498226,Epsilon Greedy
183,3,3.5885008775346376,Epsilon Greedy
184,3,2.1767360218028533,Epsilon Greedy
185,3,4.202922096798753,Epsilon Greedy
186,3,4.47300665323426,Epsilon Greedy
187,3,5.539869842780923,Epsilon Greedy
188,3,3.8869385881533303,Epsilon Greedy
189,3,4.687827399152651,Epsilon Greedy
190,3,4.217008037530432,Epsilon Greedy
191,3,4.664658095653378,Epsilon Greedy
192,3,3.535712616637544,Epsilon Greedy
193,3,4.9289735876506935,Epsilon Greedy
194,3,2.5281840588079145,Epsilon Greedy
195,3,5.139443438198284,Epsilon Greedy
196,3,2.6932742374893692,Epsilon Greedy
197,3,4.744930375389446,Epsilon Greedy
198,3,0.9134399100871438,Epsilon Greedy
199,3,5.488714950401889,Epsilon Greedy
200,3,2.4539432188951404,Epsilon Greedy
201,3,3.0192670688490812,Epsilon Greedy
202,3,4.248958278163963,Epsilon Greedy
203,3,5.707711901152454,Epsilon Greedy
204,3,3.7982601561528426,Epsilon Greedy
205,3,4.213339486141577,Epsilon Greedy
206,3,4.1910448644493945,Epsilon Greedy
207,3,4.130491321126741,Epsilon Greedy
208,3,4.707197555312661,Epsilon Greedy
209,3,4.384938717890964,Epsilon Greedy
210,3,4.431429860875403,Epsilon Greedy
211,1,2.045836176377586,Epsilon Greedy
212,3,1.7982502097735051,Epsilon Greedy
213,3,3.5963645481054414,Epsilon Greedy
214,3,3.8150513356722016,Epsilon Greedy
215,3,4.823652439924783,Epsilon Greedy
216,3,3.315911241132786,Epsilon Greedy
217,3,5.571058593139146,Epsilon Greedy
218,3,3.9233896175349843,Epsilon Greedy
219,3,2.628290709527528,Epsilon Greedy
220,3,6.17201486120382,Epsilon Greedy
221,3,3.5525641636180914,Epsilon Greedy
222,3,4.064579669478661,Epsilon Greedy
223,3,3.7648100051310127,Epsilon Greedy
224,3,4.111134533829825,Epsilon Greedy
225,3,5.253464176352224,Epsilon Greedy
226,3,4.23810401456599,Epsilon Greedy
227,3,3.5660812623005684,Epsilon Greedy
228,3,4.331979913268264,Epsilon Greedy
229,3,5.322825246516684,Epsilon Greedy
230,3,3.8209498350639413,Epsilon Greedy
231,3,5.989611910058989,Epsilon Greedy
232,3,3.7576326596017853,Epsilon Greedy
233,3,3.866854336671282,Epsilon Greedy
234,3,4.794034159652408,Epsilon Greedy
235,3,3.952475253175723,Epsilon Greedy
236,3,4.253504645311818,Epsilon Greedy
237,3,4.8742705102296675,Epsilon Greedy
238,3,3.6772674116755515,Epsilon Greedy
239,3,2.9379274230595884,Epsilon Greedy
240,3,4.4773788737197515,Epsilon Greedy
241,3,3.903521591364225,Epsilon Greedy
242,3,3.68690798786681,Epsilon Greedy
243,3,3.3969523573490394,Epsilon Greedy
244,3,4.311871959720653,Epsilon Greedy
245,3,3.7138250839997347,Epsilon Greedy
246,3,1.8242780288043465,Epsilon Greedy
247,3,3.669302740406743,Epsilon Greedy
248,3,4.46166796194231,Epsilon Greedy
249,3,5.231799043303135,Epsilon Greedy
250,3,2.942698204142445,Epsilon Greedy
251,3,4.0102649999990385,Epsilon Greedy
252,3,5.1004492822566005,Epsilon Greedy
253,3,4.458829434074758,Epsilon Greedy
254,3,3.552207339686789,Epsilon Greedy
255,3,3.8892191035471995,Epsilon Greedy
256,3,2.2125081892156304,Epsilon Greedy
257,3,5.740041169326554,Epsilon Greedy
258,3,3.4266926793903707,Epsilon Greedy
259,3,2.6890196865429514,Epsilon Greedy
260,3,3.069850894308378,Epsilon Greedy
261,3,2.7401941232342004,Epsilon Greedy
262,3,4.0025567150093755,Epsilon Greedy
263,3,4.44760298974642,Epsilon Greedy
264,3,4.218018635826265,Epsilon Greedy
265,3,5.218903661278614,Epsilon Greedy
266,3,3.278740018557646,Epsilon Greedy
267,3,3.9701051918247625,Epsilon Greedy
268,3,4.77815269190979,Epsilon Greedy
269,3,2.1947538100698623,Epsilon Greedy
270,3,4.450033045376996,Epsilon Greedy
271,3,6.315901880299357,Epsilon Greedy
272,3,3.892743900208681,Epsilon Greedy
273,3,3.233831188461927,Epsilon Greedy
274,3,2.793973638436679,Epsilon Greedy
275,3,5.213991283690662,Epsilon Greedy
276,3,3.1388970266916174,Epsilon Greedy
277,3,3.6163298574957583,Epsilon Greedy
278,3,4.73595685724004,Epsilon Greedy
279,3,3.6517775073622913,Epsilon Greedy
280,3,4.175975186977549,Epsilon Greedy
281,3,4.238700682302991,Epsilon Greedy
282,3,3.6973583292469048,Epsilon Greedy
283,3,3.6951303964355495,Epsilon Greedy
284,3,2.4449090407790823,Epsilon Greedy
285,3,6.2795178737914785,Epsilon Greedy
286,3,3.554096316608161,Epsilon Greedy
287,3,4.828667701107224,Epsilon Greedy
288,3,5.7472908776725955,Epsilon Greedy
289,3,4.687788362110106,Epsilon Greedy
290,3,5.023421860232614,Epsilon Greedy
291,3,3.649511618186038,Epsilon Greedy
292,3,4.1148145108706595,Epsilon Greedy
293,3,2.29531866648621,Epsilon Greedy
294,3,3.5369145528680166,Epsilon Greedy
295,3,4.6488299262755,Epsilon Greedy
296,3,4.066063507529432,Epsilon Greedy
297,3,3.7782991925303073,Epsilon Greedy
298,3,3.585855182295504,Epsilon Greedy
299,3,6.263558577009132,Epsilon Greedy
300,3,4.584759937849231,Epsilon Greedy
301,3,3.046738138039722,Epsilon Greedy
302,3,3.520127968581569,Epsilon Greedy
303,3,4.770515509327369,Epsilon Greedy
304,3,3.005772694400356,Epsilon Greedy
305,3,1.0798678866436986,Epsilon Greedy
306,3,5.26211317080607,Epsilon Greedy
307,3,3.507305618762003,Epsilon Greedy
308,3,3.242483792051209,Epsilon Greedy
309,3,5.225059318713042,Epsilon Greedy
310,3,3.848535888886496,Epsilon Greedy
311,3,3.197641009140471,Epsilon Greedy
312,3,4.216411805198953,Epsilon Greedy
313,3,4.686340612808169,Epsilon Greedy
314,3,4.085201923622458,Epsilon Greedy
315,3,3.5571773793448394,Epsilon Greedy
316,3,4.0660648537700625,Epsilon Greedy
317,3,5.575711995776183,Epsilon Greedy
318,3,4.644295283267234,Epsilon Greedy
319,3,4.702227306126293,Epsilon Greedy
320,3,1.394237004443394,Epsilon Greedy
321,3,5.5618995230791475,Epsilon Greedy
