,Bandit,Reward,Algorithm
0,0,1.3819573459597272,Thompson Sampling
1,1,1.7016610154793783,Thompson Sampling
2,2,0.5727210868516467,Thompson Sampling
3,3,1.6972801856938262,Thompson Sampling
4,3,0.9418924550365966,Thompson Sampling
5,3,0.20554771641879566,Thompson Sampling
6,3,3.0840360128891784,Thompson Sampling
7,3,1.4740427611875904,Thompson Sampling
8,3,0.3619321997184206,Thompson Sampling
9,3,1.1037687810986547,Thompson Sampling
10,3,-0.38768726954036214,Thompson Sampling
11,3,0.9489349993010938,Thompson Sampling
12,3,1.447969044988683,Thompson Sampling
13,3,5.674835577096069,Thompson Sampling
14,3,5.465742161511393,Thompson Sampling
15,3,2.7010842034951112,Thompson Sampling
16,3,4.645435309598677,Thompson Sampling
17,3,3.386842226627126,Thompson Sampling
18,3,6.233247656234196,Thompson Sampling
19,3,2.2456332545850923,Thompson Sampling
20,3,5.427185112380815,Thompson Sampling
21,3,4.983609948159198,Thompson Sampling
22,3,5.003487397858105,Thompson Sampling
23,3,2.991626438465074,Thompson Sampling
24,3,3.4840851290528447,Thompson Sampling
25,3,3.2669163563753028,Thompson Sampling
26,3,4.6592966731452625,Thompson Sampling
27,3,4.074812809582274,Thompson Sampling
28,3,3.273585958666673,Thompson Sampling
29,3,4.522281794837613,Thompson Sampling
30,3,3.62859076348827,Thompson Sampling
31,3,3.9671186364368225,Thompson Sampling
32,3,3.455700055418438,Thompson Sampling
33,3,3.7764820667564405,Thompson Sampling
34,3,2.795887716331353,Thompson Sampling
35,3,4.136138418218797,Thompson Sampling
36,3,3.5278833986557694,Thompson Sampling
37,3,4.4928542536765335,Thompson Sampling
38,3,3.9281781846272965,Thompson Sampling
39,3,3.5705050758542862,Thompson Sampling
40,3,3.7051530542823055,Thompson Sampling
41,3,3.9420126522679655,Thompson Sampling
42,3,5.799381886451755,Thompson Sampling
43,3,3.4135622010743605,Thompson Sampling
44,3,5.369798530537833,Thompson Sampling
45,3,4.2741546493607885,Thompson Sampling
46,3,4.34521607414239,Thompson Sampling
47,3,5.163408605035929,Thompson Sampling
48,3,1.3513108477180418,Thompson Sampling
49,3,4.4056389301024685,Thompson Sampling
50,3,5.5256329507335185,Thompson Sampling
51,3,4.501687725489802,Thompson Sampling
52,3,4.499322809641446,Thompson Sampling
53,3,2.4635052572193223,Thompson Sampling
54,3,3.9540730465658633,Thompson Sampling
55,3,2.779858232181173,Thompson Sampling
56,3,6.142607290029904,Thompson Sampling
57,3,3.8107885713144545,Thompson Sampling
58,3,2.7758592324378544,Thompson Sampling
59,3,3.8492713943000765,Thompson Sampling
60,3,5.089051726034802,Thompson Sampling
61,3,3.2145352424395126,Thompson Sampling
62,3,3.3230312755483076,Thompson Sampling
63,3,5.003149841338828,Thompson Sampling
64,3,4.177423530617544,Thompson Sampling
65,3,3.518725744335655,Thompson Sampling
66,3,5.021188301544878,Thompson Sampling
67,3,3.3819284209213403,Thompson Sampling
68,3,2.1288140053263493,Thompson Sampling
69,3,3.5932427241771485,Thompson Sampling
70,3,4.3360482973075944,Thompson Sampling
71,3,4.9512056746585005,Thompson Sampling
72,3,4.89533435150342,Thompson Sampling
73,3,2.556426728736681,Thompson Sampling
74,3,4.628340666067455,Thompson Sampling
75,3,4.3513227083099055,Thompson Sampling
76,3,3.904122847638449,Thompson Sampling
77,3,4.2607327656768605,Thompson Sampling
78,3,5.017511048200567,Thompson Sampling
79,3,2.4648485618452733,Thompson Sampling
80,3,4.447824389711883,Thompson Sampling
81,3,5.1793255577272035,Thompson Sampling
82,3,3.9313981534771356,Thompson Sampling
83,3,1.8165368556945931,Thompson Sampling
84,3,4.65377763784385,Thompson Sampling
85,3,3.406293633333571,Thompson Sampling
86,3,3.1380251457213624,Thompson Sampling
87,3,5.51255772001619,Thompson Sampling
88,3,4.405585663851003,Thompson Sampling
89,3,4.357998490421885,Thompson Sampling
90,3,4.51029648196256,Thompson Sampling
91,3,5.149798061384148,Thompson Sampling
92,3,4.55265724672435,Thompson Sampling
93,3,4.492199712331281,Thompson Sampling
94,3,4.780192849790851,Thompson Sampling
95,3,3.4601407078699475,Thompson Sampling
96,3,1.8751798743497528,Thompson Sampling
97,3,5.851390836364509,Thompson Sampling
98,3,4.955278221249817,Thompson Sampling
99,3,3.514052093163829,Thompson Sampling
100,3,4.108278729670007,Thompson Sampling
101,3,1.4164924372672707,Thompson Sampling
102,3,4.871100170625037,Thompson Sampling
103,3,5.278953838334642,Thompson Sampling
104,3,5.156362413795771,Thompson Sampling
105,3,4.635480318235947,Thompson Sampling
106,3,3.9286974936560473,Thompson Sampling
107,3,6.024863028627765,Thompson Sampling
108,3,4.832561141198306,Thompson Sampling
109,3,4.386720434250213,Thompson Sampling
110,3,4.506549844637433,Thompson Sampling
111,3,3.818171136517933,Thompson Sampling
112,3,6.679994200293171,Thompson Sampling
113,3,4.357658223933998,Thompson Sampling
114,3,4.804899788793401,Thompson Sampling
115,3,4.407302872548107,Thompson Sampling
116,3,4.56147218085106,Thompson Sampling
117,3,2.8682466537744578,Thompson Sampling
118,3,3.1611257838156575,Thompson Sampling
119,3,5.28073668316993,Thompson Sampling
120,3,5.412620803763163,Thompson Sampling
121,3,5.041118722038183,Thompson Sampling
122,3,4.893670765407954,Thompson Sampling
123,3,4.61973701609668,Thompson Sampling
124,3,4.594910965704434,Thompson Sampling
125,3,5.856720080918443,Thompson Sampling
126,3,4.849053714083055,Thompson Sampling
127,3,4.262377928343184,Thompson Sampling
128,3,4.191446852545869,Thompson Sampling
